Country or area,Subregion,Region,Internet users,Population,Year
China,Eastern Asia,Asia,1010740.0,1427647.786,2021
India,Southern Asia,Asia,833710.0,1352642.28,2021
United States,Northern America,Americas,312320.0,327096.265,2021
Brazil,South America,Americas,160000.0,209469.323,2021
Bangladesh,Southern Asia,Asia,47600.0,166303.498,2021
Russia,Eastern Europe,Europe,124000.0,145734.038,2021
Pakistan,Southern Asia,Asia,61340.0,213756.286,2021
Japan,Eastern Asia,Asia,117400.0,127202.192,2021
Mexico,Northern America,Americas,92010.0,128972.439,2021
Germany,Western Europe,Europe,78810.0,83124.418,2021
Philippines,South-eastern Asia,Asia,73910.0,106651.394,2021
Vietnam,South-eastern Asia,Asia,68720.0,95545.962,2021
United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,65001.016,67141.684,2021
France,Western Europe,Europe,59470.0,64990.511,2021
Egypt,Northern Africa,Africa,59190.0,98423.598,2021
South Korea,Eastern Asia,Asia,49750.0,51171.706,2021
Spain,Southern Europe,Europe,42540.0,46692.858,2021
Italy,Southern Europe,Europe,50540.0,60627.291,2021
Canada,Northern America,Americas,35630.0,37064.562,2021
Argentina,South America,Americas,36320.0,44361.15,2021
South Africa,Southern Africa,Africa,38190.0,57792.518,2021
Colombia,South America,Americas,30548.252,49661.048,2021
Saudi Arabia,Western Asia,Asia,33580.0,33702.756,2021
Malaysia,South-eastern Asia,Asia,27430.0,31528.033,2021
Algeria,Northern Africa,Africa,26350.0,42228.408,2021
Morocco,Northern Africa,Africa,27620.0,36029.093,2021
Taiwan,Eastern Asia,Asia,21450.0,23726.46,2021
Australia,"Australia, New Zealand",Oceania,22820.0,24898.152,2021
"Venezuela, Bolivarian Republic of",South America,Americas,20564.451,28887.118,2021
Ethiopia,Eastern Africa,Africa,23960.0,109224.414,2021
Iraq,Western Asia,Asia,30520.0,38433.6,2021
Uzbekistan,Central Asia,Asia,18600.0,32476.244,2021
Myanmar,South-eastern Asia,Asia,23650.0,53708.32,2021
Netherlands,Western Europe,Europe,16470.0,17059.56,2021
Peru,South America,Americas,19900.0,31989.26,2021
Chile,South America,Americas,15780.0,18729.16,2021
Kazakhstan,Central Asia,Asia,15470.0,18319.618,2021
Romania,Eastern Europe,Europe,15490.0,19506.114,2021
Sudan,Northern Africa,Africa,13700.0,41801.533,2021
Ghana,Western Africa,Africa,15700.0,29767.102,2021
Côte d'Ivoire,Western Africa,Africa,10650.818,25069.23,2021
Uganda,Eastern Africa,Africa,12160.0,42729.036,2021
Belgium,Western Europe,Europe,10570.0,11482.178,2021
