,Country or area,Subregion,Region,Internet users,Unnamed: 4,Population.mw-parser-output .nobold{font-weight:normal}(2018)[13][14],Sources,Year
0,China,Eastern Asia,Asia,1010740000,,1427647786.0,[15],2021
1,India,Southern Asia,Asia,833710000,,1352642280.0,[16],2021
2,United States,Northern America,Americas,312320000,,327096265.0,[17],2021
3,Indonesia,South-eastern Asia,Asia,202000000,,267670543.0,[18][19],2020
4,Brazil,South America,Americas,160000000,,209469323.0,[20],2021
5,Nigeria,Western Africa,Africa,104000000,,195874685.0,[21],2020
6,Bangladesh,Southern Asia,Asia,47600000,,166303498.0,[22],2021
7,Russia,Eastern Europe,Europe,124000000,,145734038.0,[23][24],2021
8,Pakistan,Southern Asia,Asia,61340000,,213756286.0,[25][26],2021
9,Japan,Eastern Asia,Asia,117400000,,127202192.0,[27],2021
10,Mexico,Northern America,Americas,92010000,,128972439.0,[28],2021
11,Iran,Southern Asia,Asia,59160000,,81800188.0,[29],2020
12,Germany,Western Europe,Europe,78810000,,83124418.0,[30],2021
13,Philippines,South-eastern Asia,Asia,73910000,,106651394.0,[31],2021
14,Vietnam,South-eastern Asia,Asia,68720000,,95545962.0,[32],2021
15,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,65001016,,67141684.0,[33],2021
16,Turkey,Southern Europe,Europe,65800000,,82340088.0,[34],2022
17,France,Western Europe,Europe,59470000,,64990511.0,[35],2021
18,Egypt,Northern Africa,Africa,59190000,,98423598.0,[36],2021
19,South Korea,Eastern Asia,Asia,49750000,,51171706.0,[37],2021
20,Spain,Southern Europe,Europe,42540000,,46692858.0,[38],2021
21,Thailand,South-eastern Asia,Asia,48590000,,69428453.0,[39],2020
22,Italy,Southern Europe,Europe,50540000,,60627291.0,[40],2021
23,Poland,Eastern Europe,Europe,31970000,,37921592.0,[41],2020
24,Canada,Northern America,Americas,35630000,,37064562.0,[42],2021
25,Argentina,South America,Americas,36320000,,44361150.0,[43],2021
26,South Africa,Southern Africa,Africa,38190000,,57792518.0,[44],2021
27,Colombia,South America,Americas,30548252,,49661048.0,[45],2021
28,Saudi Arabia,Western Asia,Asia,33580000,,33702756.0,[46],2021
29,Malaysia,South-eastern Asia,Asia,27430000,,31528033.0,[47],2021
30,Ukraine,Eastern Europe,Europe,29470000,,44246156.0,[48],2022
31,Algeria,Northern Africa,Africa,26350000,,42228408.0,[49],2021
32,Morocco,Northern Africa,Africa,27620000,,36029093.0,[50],2021
33,Taiwan,Eastern Asia,Asia,21450000,,23726460.0,[51],2021
34,Australia,"Australia, New Zealand",Oceania,22820000,,24898152.0,[52],2021
35,"Venezuela, Bolivarian Republic of",South America,Americas,20564451,,28887118.0,[53],2021
36,Ethiopia,Eastern Africa,Africa,23960000,,109224414.0,[54],2021
37,Iraq,Western Asia,Asia,30520000,,38433600.0,[55],2021
38,Uzbekistan,Central Asia,Asia,18600000,,32476244.0,[56],2021
39,Myanmar,South-eastern Asia,Asia,23650000,,53708320.0,[57],2021
40,Netherlands,Western Europe,Europe,16470000,,17059560.0,[58],2021
41,Peru,South America,Americas,19900000,,31989260.0,[59],2021
42,Chile,South America,Americas,15780000,,18729160.0,[60],2021
43,Kazakhstan,Central Asia,Asia,15470000,,18319618.0,[61],2021
44,Romania,Eastern Europe,Europe,15490000,,19506114.0,[62],2021
45,Sudan,Northern Africa,Africa,13700000,,41801533.0,[63],2021
46,Ghana,Western Africa,Africa,15700000,,29767102.0,[64],2021
47,Côte d'Ivoire,Western Africa,Africa,10650818,,25069230.0,[65],2021
48,Uganda,Eastern Africa,Africa,12160000,,42729036.0,[66],2021
49,Belgium,Western Europe,Europe,10570000,,11482178.0,[67],2021
50,Sweden,Northern Europe,Europe,9930000,,9971638.0,[68],2021
51,Ecuador,South America,Americas,10170000,,17084358.0,[69],2021
52,Tanzania,Eastern Africa,Africa,30000000,,56313438.0,[70],2021
53,United Arab Emirates,Western Asia,Asia,9840000,,9630959.0,[71],2021
54,Kenya,Eastern Africa,Africa,21750000,,51392565.0,[72],2021
55,Czech Republic,Eastern Europe,Europe,8358728,,10665677.0,[73],2021
56,Switzerland,Western Europe,Europe,7942864,,8525611.0,[74],2021
